au,date,index,dep,reg,nat,dmean,qual,dep_qual,kfrac,rfrac,tfrac,isField,start_times,end_times,cit_times,tot_cits,isCiter,isMove
"ABARBANELL, J",1991,0,UNIV MICHIGAN,E,USA,0.035971223,1,0.8846153846,0.0251572327,0.0205655527,0.0213505462,0,1990,2003,,,0,False
"ABARBANELL, J",1992,2,UNIV MICHIGAN,E,USA,0.035971223,1,0.8846153846,0.0179640719,0.024691358,0.025083612,0,1990,2003,,,0,False
"ABARBANELL, J",1993,4,UNIV MICHIGAN,E,USA,0.035971223,1,0.8846153846,0.0352941176,0.0299703264,0.02945237,0,1990,2003,,,0,False
"ABARBANELL, J",1994,6,UNIV MICHIGAN,E,USA,0.035971223,1,0.8846153846,0.0304878049,0.0328060926,0.0316143498,0,1990,2003,,,0,False
"ABBOTT, P",1986,1390,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0,0,0,0,1978,2002,,,0,False
"ABBOTT, P",1987,1391,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0,0.0015461925,0.0011994003,0,1978,2002,,,0,False
"ABBOTT, P",1988,1392,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0,0.006256901,0.0065639269,0,1978,2002,,,0,False
"ABBOTT, P",1989,1393,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0,0.01018974,0.0100488865,0,1978,2002,,,0,False
"ABBOTT, P",1990,1394,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0.0303030303,0.0163442295,0.0160123967,0,1978,2002,,,0,False
"ABBOTT, P",1991,1395,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0.03125,0.0205655527,0.0213505462,0,1978,2002,,,0,False
"ABBOTT, P",1992,1396,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0.0322580645,0.024691358,0.025083612,0,1978,2002,,,0,False
"ABBOTT, P",1993,1397,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0.0294117647,0.0299703264,0.02945237,0,1978,2002,,,0,False
"ABBOTT, P",1994,1398,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0.0294117647,0.0328060926,0.0316143498,0,1978,2002,,,0,False
"ABDALLA, C",1992,1686,PENN STATE UNIV,E,USA,0.067251462,1,0.6634615385,0,0.024691358,0.025083612,0,1991,2005,,,0,False
"ABDALLA, C",1993,1687,PENN STATE UNIV,E,USA,0.067251462,1,0.6634615385,0,0.0299703264,0.02945237,0,1991,2005,,,0,False
"ABDALLA, C",1994,1688,PENN STATE UNIV,E,USA,0.067251462,1,0.6634615385,0,0.0328060926,0.0316143498,0,1991,2005,,,0,False
