aut,datetime,tot_cits
"ACEMOGLU, D",1998-01-01 00:00:00,2
"ACHARYA, V",2007-01-01 00:00:00,8
"ACS, Z",1991-01-01 00:00:00,2
"ADMATI, A",2012-01-01 00:00:00,3
"AGARWAL, V",2009-01-01 00:00:00,3
"AGGARWAL, R",2003-01-01 00:00:00,8
"AGHION, P",1992-01-01 00:00:00,8
"AGRAWAL, A",1991-01-01 00:00:00,3
"AHMED, A",2011-01-01 00:00:00,2
"AKERLOF, G",2007-01-01 00:00:00,1
"ALBUQUERQUE, R",2008-01-01 00:00:00,4
"ALCHIAN, A",1988-01-01 00:00:00,2
"ALLAYANNIS, G",2001-01-01 00:00:00,6
"ALLEN, F",1990-01-01 00:00:00,3
"ALLEN, L",2012-01-01 00:00:00,4
"ALMAZAN, A",2005-01-01 00:00:00,6
"ALMEIDA, H",2005-01-01 00:00:00,6
"ALTINKILIC, O",2000-01-01 00:00:00,3
"AMBROSE, B",1992-01-01 00:00:00,3
"AMIHUD, Y",1999-01-01 00:00:00,2
"ANDERSON, D",1993-01-01 00:00:00,2
"ANDERSON, E",2009-01-01 00:00:00,2
"ANDERSON, R",2000-01-01 00:00:00,9
"ARLEN, J",1995-01-01 00:00:00,3
"ARNOTT, R",2003-01-01 00:00:00,2
"ARYA, A",2000-01-01 00:00:00,1
"ASQUITH, P",1994-01-01 00:00:00,3
"AUDRETSCH, D",2005-01-01 00:00:00,3
"AUERBACH, A",1997-01-01 00:00:00,2
"BAE, S",2008-01-01 00:00:00,3
"BAGWELL, L",1991-01-01 00:00:00,4
"BAIRD, D",1991-01-01 00:00:00,5
"BAKER, G",1989-01-01 00:00:00,3
"BAKER, H",2009-01-01 00:00:00,6
"BAKER, M",2002-01-01 00:00:00,8
"BALTAGI, B",1989-01-01 00:00:00,3
"BANERJEE, A",1992-01-01 00:00:00,3
"BANERJEE, S",2007-01-01 00:00:00,3
"BARBER, B",1996-01-01 00:00:00,1
"BARCLAY, M",1988-01-01 00:00:00,13
"BARGERON, L",2008-01-01 00:00:00,7
"BARRY, C",1990-01-01 00:00:00,1
"BARTH, M",1999-01-01 00:00:00,2
"BAUM, C",2012-01-01 00:00:00,4
"BEATTY, A",1995-01-01 00:00:00,2
"BEBCHUK, L",1990-01-01 00:00:00,11
"BECKER, B",2011-01-01 00:00:00,3
"BENEISH, M",2008-01-01 00:00:00,4
"BENMELECH, E",2009-01-01 00:00:00,1
"BENSON, B",2011-01-01 00:00:00,4
"BERGER, P",1995-01-01 00:00:00,14
"BERGSTRESSER, D",2006-01-01 00:00:00,3
"BERKOVITCH, E",1993-01-01 00:00:00,5
"BERNARDO, A",1996-01-01 00:00:00,2
"BERNHEIM, B",1995-01-01 00:00:00,2
"BERTRAND, M",1999-01-01 00:00:00,2
"BESANKO, D",1993-01-01 00:00:00,1
"BHARATH, S",2010-01-01 00:00:00,2
"BITTLINGMAYER, G",1996-01-01 00:00:00,1
"BLANCHARD, O",1994-01-01 00:00:00,3
"BOEHMER, E",2000-01-01 00:00:00,1
"BOLTON, P",1990-01-01 00:00:00,7
"BOOT, A",2006-01-01 00:00:00,9
"BORENSTEIN, S",2000-01-01 00:00:00,4
"BOUDOUKH, J",2007-01-01 00:00:00,2
"BRADFORD, W",2013-01-01 00:00:00,3
"BRADLEY, M",2011-01-01 00:00:00,2
"BRAU, J",2006-01-01 00:00:00,7
"BRAV, A",2005-01-01 00:00:00,10
"BRENNAN, M",1990-01-01 00:00:00,2
"BRONARS, S",1991-01-01 00:00:00,3
"BROWN, C",2007-01-01 00:00:00,8
"BROWN, D",2009-01-01 00:00:00,3
"BROWN, J",2007-01-01 00:00:00,3
"BROWN, W",2007-01-01 00:00:00,1
"BRUNER, R",1999-01-01 00:00:00,1
"BRUSH, T",2000-01-01 00:00:00,1
"BUETTNER, T",2012-01-01 00:00:00,4
"BURCH, T",2001-01-01 00:00:00,3
"BUSHMAN, R",2001-01-01 00:00:00,6
"CADENILLAS, A",2007-01-01 00:00:00,3
"CALOMIRIS, C",1995-01-01 00:00:00,1
"CAMPA, J",2002-01-01 00:00:00,2
"CAMPBELL, C",2003-01-01 00:00:00,2
"CAMPBELL, D",2006-01-01 00:00:00,1
"CAMPBELL, J",2012-01-01 00:00:00,5
"CAMPELLO, M",2006-01-01 00:00:00,2
"CAPOZZA, D",1999-01-01 00:00:00,2
"CAPRIO, G",1998-01-01 00:00:00,2
"CARPENTER, R",2008-01-01 00:00:00,2
"CARROLL, T",2009-01-01 00:00:00,2
"CAVES, R",1989-01-01 00:00:00,1
"CHAKRABORTY, A",1999-01-01 00:00:00,7
"CHAN, K",2004-01-01 00:00:00,6
"CHAN, L",1992-01-01 00:00:00,3
"CHAN, S",1990-01-01 00:00:00,5
"CHANG, C",1992-01-01 00:00:00,5
"CHANG, E",2009-01-01 00:00:00,2
"CHANG, K",2012-01-01 00:00:00,3
"CHANG, Y",2011-01-01 00:00:00,2
"CHATTERJEE, S",1991-01-01 00:00:00,6
"CHAVA, S",2008-01-01 00:00:00,5
"CHEMMANUR, T",1996-01-01 00:00:00,9
"CHEN, D",2009-01-01 00:00:00,4
"CHEN, H",2010-01-01 00:00:00,6
"CHEN, J",2004-01-01 00:00:00,2
"CHEN, K",2011-01-01 00:00:00,3
"CHEN, M",2006-01-01 00:00:00,6
"CHEN, N",2011-01-01 00:00:00,1
"CHEN, Q",2012-01-01 00:00:00,5
"CHEN, S",1997-01-01 00:00:00,26
"CHEN, X",2010-01-01 00:00:00,4
"CHEN, Y",2007-01-01 00:00:00,5
"CHENG, L",2002-01-01 00:00:00,2
"CHENG, Y",2008-01-01 00:00:00,1
"CHESBROUGH, H",2000-01-01 00:00:00,2
"CHETTY, R",2005-01-01 00:00:00,1
"CHEUNG, Y",2011-01-01 00:00:00,7
"CHEVALIER, J",1996-01-01 00:00:00,1
"CHIRINKO, R",2001-01-01 00:00:00,4
"CHO, J",2012-01-01 00:00:00,3
"CHOI, S",2002-01-01 00:00:00,2
"CHRISTIE, W",1994-01-01 00:00:00,3
"CICCOTELLO, C",2001-01-01 00:00:00,2
"CLARK, G",1997-01-01 00:00:00,2
"CLARK, J",2009-01-01 00:00:00,3
"CLARK, R",1989-01-01 00:00:00,2
"COLE, C",2011-01-01 00:00:00,5
"CONROY, R",2000-01-01 00:00:00,1
"CONYON, M",2001-01-01 00:00:00,4
"COOK, D",2008-01-01 00:00:00,3
"COOPER, M",2008-01-01 00:00:00,3
"COPELAND, T",1991-01-01 00:00:00,1
"CORE, J",1999-01-01 00:00:00,5
"CORNELL, B",2001-01-01 00:00:00,2
"CORNETT, M",1989-01-01 00:00:00,7
"COTTERILL, R",1988-01-01 00:00:00,2
"CREMERS, K",2007-01-01 00:00:00,5
"CRONQVIST, H",2001-01-01 00:00:00,11
"CUMMINS, J",2008-01-01 00:00:00,7
"CUNY, C",2009-01-01 00:00:00,3
"CUTLER, D",1988-01-01 00:00:00,2
"CYERT, R",2002-01-01 00:00:00,2
"DAMODARAN, A",1997-01-01 00:00:00,4
"DAVID, P",2010-01-01 00:00:00,4
"DAVIS, G",1993-01-01 00:00:00,3
"DAVIS, S",2012-01-01 00:00:00,2
"DE FIGUEIREDO, R",2011-01-01 00:00:00,2
"DEALESSI, L",1990-01-01 00:00:00,3
"DEANGELO, H",1992-01-01 00:00:00,16
"DECHOW, P",2008-01-01 00:00:00,3
"DELONG, G",2003-01-01 00:00:00,2
"DELONG, J",1990-01-01 00:00:00,3
"DEMIRGUC-KUNT, A",2010-01-01 00:00:00,2
"DENIS, D",1990-01-01 00:00:00,18
"DESAI, M",2011-01-01 00:00:00,2
"DESHMUKH, S",2006-01-01 00:00:00,4
"DESSEIN, W",2002-01-01 00:00:00,2
"DEWENTER, K",1998-01-01 00:00:00,2
"DHALIWAL, D",2003-01-01 00:00:00,5
"DHARMAPALA, D",2011-01-01 00:00:00,3
"DIAMOND, D",1991-01-01 00:00:00,5
"DICKINSON, D",2000-01-01 00:00:00,1
"DITTMAR, A",2000-01-01 00:00:00,2
"DOOLEY, M",1992-01-01 00:00:00,3
"DU, J",2005-01-01 00:00:00,4
"EASTERBROOK, F",2009-01-01 00:00:00,1
"ECKBO, B",1989-01-01 00:00:00,5
"EDMANS, A",2011-01-01 00:00:00,1
"EDWARDS, J",2009-01-01 00:00:00,2
"EISFELDT, A",2008-01-01 00:00:00,1
"ENGEL, E",2007-01-01 00:00:00,1
"ERICKSON, M",2012-01-01 00:00:00,3
"FACCIO, M",2001-01-01 00:00:00,5
"FAMA, E",1991-01-01 00:00:00,8
"FAULKENDER, M",2006-01-01 00:00:00,2
"FAUVER, L",2006-01-01 00:00:00,3
"FAZZARI, S",1988-01-01 00:00:00,1
"FERRIS, S",2003-01-01 00:00:00,4
"FIELDS, L",1994-01-01 00:00:00,1
"FILER, R",2003-01-01 00:00:00,1
"FISCHER, P",2008-01-01 00:00:00,2
"FISMAN, R",2003-01-01 00:00:00,5
"FLANNERY, M",1994-01-01 00:00:00,2
"FLUCK, Z",1998-01-01 00:00:00,3
"FOLEY, C",2007-01-01 00:00:00,1
"FRANCIS, B",2008-01-01 00:00:00,11
"FRANCIS, J",2010-01-01 00:00:00,2
"FRANKS, J",1989-01-01 00:00:00,3
"FRIED, J",2000-01-01 00:00:00,4
"FRIEDMAN, E",2002-01-01 00:00:00,6
"FRIEND, I",1988-01-01 00:00:00,2
"FULGHIERI, P",2006-01-01 00:00:00,4
"GARVEY, G",1992-01-01 00:00:00,11
"GE, W",2012-01-01 00:00:00,3
"GERTLER, M",1993-01-01 00:00:00,3
"GERTNER, R",1991-01-01 00:00:00,3
"GHOSH, A",2000-01-01 00:00:00,11
"GHOSH, C",1995-01-01 00:00:00,22
"GILSON, R",1989-01-01 00:00:00,3
"GILSON, S",1997-01-01 00:00:00,3
"GOETZMANN, W",2007-01-01 00:00:00,3
"GOLBE, D",2013-01-01 00:00:00,2
"GOLDSTEIN, I",2006-01-01 00:00:00,3
"GOMES, A",2000-01-01 00:00:00,1
"GOMES, J",2004-01-01 00:00:00,4
"GOMPERS, P",1995-01-01 00:00:00,6
"GONG, G",2012-01-01 00:00:00,2
"GORDON, R",2010-01-01 00:00:00,1
"GORTON, G",1992-01-01 00:00:00,8
"GOUREVITCH, P",2005-01-01 00:00:00,1
"GRAHAM, J",1999-01-01 00:00:00,13
"GREENE, W",2009-01-01 00:00:00,3
"GREENWALD, B",1991-01-01 00:00:00,4
"GRIFFIN, J",1988-01-01 00:00:00,3
"GRINSTEIN, Y",2004-01-01 00:00:00,4
"GU, Z",2007-01-01 00:00:00,5
"GUAY, W",2000-01-01 00:00:00,2
"GUENTHER, D",1992-01-01 00:00:00,2
"GUL, F",1998-01-01 00:00:00,11
"HACKBARTH, D",2008-01-01 00:00:00,1
"HADDOCK, D",1987-01-01 00:00:00,3
"HADLOCK, C",1998-01-01 00:00:00,4
"HAHN, R",2005-01-01 00:00:00,2
"HALL, B",1990-01-01 00:00:00,6
"HANLON, M",2010-01-01 00:00:00,2
"HANOUSEK, J",2011-01-01 00:00:00,2
"HANSEN, B",2009-01-01 00:00:00,3
"HANSEN, R",1994-01-01 00:00:00,1
"HARDING, J",2013-01-01 00:00:00,3
"HARFORD, J",1999-01-01 00:00:00,11
"HARRINGTON, S",1995-01-01 00:00:00,2
"HARRIS, M",1988-01-01 00:00:00,5
"HARRIS, T",2001-01-01 00:00:00,2
"HARRISON, J",2012-01-01 00:00:00,2
"HART, C",2004-01-01 00:00:00,1
"HART, O",1988-01-01 00:00:00,6
"HARTZELL, J",2006-01-01 00:00:00,5
"HARVEY, C",2004-01-01 00:00:00,1
"HEALY, P",1995-01-01 00:00:00,2
"HEATON, J",2002-01-01 00:00:00,2
"HELLWIG, M",2000-01-01 00:00:00,3
"HELWEGE, J",2007-01-01 00:00:00,1
"HENDERSON, J",2003-01-01 00:00:00,2
"HENDERSON, V",2010-01-01 00:00:00,1
"HENRY, P",2007-01-01 00:00:00,1
"HERMALIN, B",2001-01-01 00:00:00,2
"HERTZEL, M",1991-01-01 00:00:00,6
"HIGGINS, M",1997-01-01 00:00:00,3
"HILL, C",1992-01-01 00:00:00,3
"HIRSHLEIFER, D",2009-01-01 00:00:00,2
"HO, J",2011-01-01 00:00:00,3
"HOLDERNESS, C",1988-01-01 00:00:00,7
"HOLMSTROM, B",2000-01-01 00:00:00,5
"HOSHI, T",1991-01-01 00:00:00,3
"HOTCHKISS, E",1995-01-01 00:00:00,2
"HOUSTON, J",1994-01-01 00:00:00,6
"HOWE, J",1988-01-01 00:00:00,7
"HOYT, R",2011-01-01 00:00:00,2
"HRIBAR, P",2006-01-01 00:00:00,1
"HSIEH, C",2012-01-01 00:00:00,2
"HSIEH, J",2008-01-01 00:00:00,2
"HU, X",1998-01-01 00:00:00,2
"HU, Y",2008-01-01 00:00:00,2
"HUANG, C",2009-01-01 00:00:00,3
"HUANG, J",2011-01-01 00:00:00,3
"HUANG, Y",1988-01-01 00:00:00,5
"HUBBARD, R",1993-01-01 00:00:00,13
"HUNG, M",2012-01-01 00:00:00,3
"HUNTER, W",1990-01-01 00:00:00,2
"HWANG, J",2013-01-01 00:00:00,3
"IPPOLITO, R",1992-01-01 00:00:00,2
"ISRAEL, R",1991-01-01 00:00:00,2
"JAFFEE, D",1990-01-01 00:00:00,4
"JAIN, B",2001-01-01 00:00:00,5
"JARRELL, G",1990-01-01 00:00:00,1
"JEITSCHKO, T",2005-01-01 00:00:00,2
"JENSEN, M",1988-01-01 00:00:00,12
"JO, H",2011-01-01 00:00:00,2
"JOHN, K",1987-01-01 00:00:00,16
"JOHNSON, R",1996-01-01 00:00:00,3
"JOHNSON, S",1995-01-01 00:00:00,5
"JOVANOVIC, B",2002-01-01 00:00:00,2
"KAHAN, M",1992-01-01 00:00:00,7
"KALAY, A",1997-01-01 00:00:00,2
"KALCHEVA, I",2007-01-01 00:00:00,2
"KANG, J",1993-01-01 00:00:00,18
"KAPLAN, S",1989-01-01 00:00:00,12
"KAROLYI, G",2009-01-01 00:00:00,1
"KAU, J",2008-01-01 00:00:00,3
"KHAN, M",2012-01-01 00:00:00,3
"KHURANA, I",2006-01-01 00:00:00,3
"KIM, D",2012-01-01 00:00:00,1
"KIM, E",2006-01-01 00:00:00,1
"KIM, J",2010-01-01 00:00:00,8
"KIM, M",1990-01-01 00:00:00,1
"KIM, S",2003-01-01 00:00:00,10
"KIM, T",2008-01-01 00:00:00,7
"KLASA, S",2007-01-01 00:00:00,6
"KLEIN, A",2009-01-01 00:00:00,4
"KLEIN, P",2001-01-01 00:00:00,2
"KLICK, J",2008-01-01 00:00:00,2
"KLOCK, M",2005-01-01 00:00:00,2
"KNIGHT, J",2010-01-01 00:00:00,2
"KOLE, S",2000-01-01 00:00:00,3
"KORAJCZYK, R",2003-01-01 00:00:00,2
"KOTHARI, S",1992-01-01 00:00:00,3
"KOVENOCK, D",1995-01-01 00:00:00,3
"KRAMER, R",2012-01-01 00:00:00,2
"KUMAR, K",2008-01-01 00:00:00,2
"KUMAR, V",1991-01-01 00:00:00,1
"LA PORTA, R",2000-01-01 00:00:00,2
"LAI, K",2009-01-01 00:00:00,2
"LAM, P",2011-01-01 00:00:00,3
"LAMONT, O",1997-01-01 00:00:00,1
"LANG, L",1989-01-01 00:00:00,13
"LAZONICK, W",2000-01-01 00:00:00,10
"LEE, B",2011-01-01 00:00:00,2
"LEE, C",2006-01-01 00:00:00,8
"LEE, D",2000-01-01 00:00:00,1
"LEE, J",2007-01-01 00:00:00,1
"LEHN, K",1989-01-01 00:00:00,6
"LELAND, H",1994-01-01 00:00:00,5
"LEONE, A",2007-01-01 00:00:00,1
"LEUNG, S",2006-01-01 00:00:00,2
"LEUZ, C",2008-01-01 00:00:00,3
"LEVINSON, D",2005-01-01 00:00:00,1
"LEWELLEN, K",2006-01-01 00:00:00,3
"LEWIS, C",2001-01-01 00:00:00,6
"LEWIS, D",2003-01-01 00:00:00,2
"LI, C",2009-01-01 00:00:00,4
"LI, D",1996-01-01 00:00:00,2
"LI, G",2011-01-01 00:00:00,2
"LI, H",2003-01-01 00:00:00,1
"LI, Q",2007-01-01 00:00:00,2
"LI, S",2006-01-01 00:00:00,6
"LI, W",2008-01-01 00:00:00,4
"LI, X",2009-01-01 00:00:00,8
"LI, Y",2008-01-01 00:00:00,8
"LI, Z",2009-01-01 00:00:00,3
"LIE, E",1999-01-01 00:00:00,4
"LIEBESKIND, J",2000-01-01 00:00:00,2
"LIN, J",2007-01-01 00:00:00,5
"LINCK, J",2008-01-01 00:00:00,3
"LING, D",2011-01-01 00:00:00,2
"LIPSON, M",1998-01-01 00:00:00,3
"LISTOKIN, Y",2007-01-01 00:00:00,3
"LIU, H",2011-01-01 00:00:00,2
"LIU, L",2009-01-01 00:00:00,1
"LIU, Q",2012-01-01 00:00:00,2
"LIU, X",2010-01-01 00:00:00,4
"LIU, Z",2009-01-01 00:00:00,2
"LOUIS, H",2004-01-01 00:00:00,6
"LOW, S",2001-01-01 00:00:00,1
"MACEY, J",2008-01-01 00:00:00,1
"MAHONEY, P",1995-01-01 00:00:00,1
"MAJUMDAR, S",1997-01-01 00:00:00,4
"MAKSIMOVIC, V",1991-01-01 00:00:00,10
"MALANI, A",2007-01-01 00:00:00,1
"MALMENDIER, U",2005-01-01 00:00:00,3
"MALONEY, M",1993-01-01 00:00:00,1
"MANN, S",1991-01-01 00:00:00,2
"MANOVE, M",1999-01-01 00:00:00,1
"MASSON, R",2009-01-01 00:00:00,3
"MASULIS, R",1988-01-01 00:00:00,6
"MATSUSAKA, J",2001-01-01 00:00:00,5
"MAYERS, D",1998-01-01 00:00:00,1
"MCCONNELL, J",1990-01-01 00:00:00,5
"MERTON, R",1990-01-01 00:00:00,6
"METRICK, A",2011-01-01 00:00:00,2
"MIAO, J",2005-01-01 00:00:00,3
"MICHAEL, S",2004-01-01 00:00:00,2
"MICHAELY, R",2012-01-01 00:00:00,2
"MIKKELSON, W",2003-01-01 00:00:00,2
"MILLER, D",2004-01-01 00:00:00,5
"MILLER, G",1996-01-01 00:00:00,3
"MILLER, S",2006-01-01 00:00:00,2
"MISHRA, D",2010-01-01 00:00:00,2
"MITCHELL, J",2000-01-01 00:00:00,5
"MITCHELL, M",1989-01-01 00:00:00,5
"MITTON, T",2008-01-01 00:00:00,2
"MOELLER, S",2004-01-01 00:00:00,5
"MOORE, W",1989-01-01 00:00:00,2
"MUELLER, D",1992-01-01 00:00:00,2
"MULHERIN, J",2005-01-01 00:00:00,3
"MURPHY, K",1995-01-01 00:00:00,2
"MUSCARELLA, C",1991-01-01 00:00:00,1
"MYERS, S",1991-01-01 00:00:00,5
"NAKAMURA, E",2010-01-01 00:00:00,1
"NANDA, V",1999-01-01 00:00:00,2
"NASH, R",2003-01-01 00:00:00,3
"NEUMANN, R",2003-01-01 00:00:00,1
"NEUMARK, D",1996-01-01 00:00:00,1
"NOE, T",1996-01-01 00:00:00,7
"NORTON, E",1993-01-01 00:00:00,1
"O'BRIEN, J",2003-01-01 00:00:00,7
"OFEK, E",1993-01-01 00:00:00,1
"OFFICER, M",2003-01-01 00:00:00,11
"OTT, S",2005-01-01 00:00:00,1
"OWERS, J",2008-01-01 00:00:00,4
"PALIA, D",2001-01-01 00:00:00,3
"PARK, H",2008-01-01 00:00:00,6
"PARK, J",2009-01-01 00:00:00,1
"PARRINO, R",1999-01-01 00:00:00,2
"PENG, L",2008-01-01 00:00:00,2
"PENNINGS, J",1994-01-01 00:00:00,1
"PETERSON, D",1991-01-01 00:00:00,3
"PHILLIPS, G",1995-01-01 00:00:00,1
"PIERCE, J",2013-01-01 00:00:00,2
"PINEGAR, J",1989-01-01 00:00:00,4
"PINKOWITZ, L",2001-01-01 00:00:00,4
"PIRRONG, C",1995-01-01 00:00:00,2
"PORTER, R",2005-01-01 00:00:00,1
"POTERBA, J",1987-01-01 00:00:00,3
"POUND, J",1992-01-01 00:00:00,3
"POVEL, P",2004-01-01 00:00:00,4
"RAJAN, R",1995-01-01 00:00:00,8
"RAMEZANI, C",2002-01-01 00:00:00,1
"RAUH, J",2012-01-01 00:00:00,2
"RAVID, S",1988-01-01 00:00:00,6
"REUER, J",1997-01-01 00:00:00,4
"ROBERTS, M",2009-01-01 00:00:00,2
"ROBINSON, J",1990-01-01 00:00:00,14
"ROE, M",1993-01-01 00:00:00,9
"ROLAND, G",1994-01-01 00:00:00,2
"ROTEMBERG, J",1990-01-01 00:00:00,2
"RUMELT, R",1991-01-01 00:00:00,2
"SAKAKIBARA, M",2001-01-01 00:00:00,2
"SALONER, G",1991-01-01 00:00:00,2
"SCHARFSTEIN, D",1990-01-01 00:00:00,4
"SCHIANTARELLI, F",1996-01-01 00:00:00,2
"SCHILL, M",2001-01-01 00:00:00,1
"SCHLINGEMANN, F",2004-01-01 00:00:00,2
"SCHOLES, M",1990-01-01 00:00:00,3
"SCHOLZ, J",1992-01-01 00:00:00,2
"SCHULTZ, P",1993-01-01 00:00:00,2
"SCHWERT, G",2000-01-01 00:00:00,2
"SERVAES, H",1994-01-01 00:00:00,4
"SEWARD, J",1996-01-01 00:00:00,2
"SEYHUN, H",1990-01-01 00:00:00,2
"SHAHRUR, H",2005-01-01 00:00:00,2
"SHARMA, V",2011-01-01 00:00:00,1
"SHIN, H",2002-01-01 00:00:00,3
"SHIVDASANI, A",1993-01-01 00:00:00,3
"SHLEIFER, A",1989-01-01 00:00:00,13
"SILVA, E",2011-01-01 00:00:00,3
"SKINNER, D",2008-01-01 00:00:00,1
"SLOVIN, M",1995-01-01 00:00:00,8
"SMART, S",1994-01-01 00:00:00,3
"SMITH, A",1990-01-01 00:00:00,1
"SMITH, C",1992-01-01 00:00:00,4
"SMITH, D",2002-01-01 00:00:00,1
"SMITH, M",1996-01-01 00:00:00,3
"SORENSON, O",2001-01-01 00:00:00,2
"SPIER, K",1998-01-01 00:00:00,3
"SPULBER, D",2009-01-01 00:00:00,1
"STIGLITZ, J",1992-01-01 00:00:00,2
"STUART, T",2010-01-01 00:00:00,2
"STULZ, R",1988-01-01 00:00:00,6
"SUN, J",2011-01-01 00:00:00,1
"TERVIO, M",2008-01-01 00:00:00,1
"THOMAS, L",1999-01-01 00:00:00,1
"THOMPSON, P",2012-01-01 00:00:00,2
"TIROLE, J",2001-01-01 00:00:00,5
"TITMAN, S",2004-01-01 00:00:00,1
"TRIANTIS, G",1994-01-01 00:00:00,9
"TSAY, R",2009-01-01 00:00:00,3
"TUCKER, J",2011-01-01 00:00:00,2
"TUFANO, P",1998-01-01 00:00:00,1
"VILLALONGA, B",2005-01-01 00:00:00,5
"VIVES, X",2000-01-01 00:00:00,3
"VROOMAN, J",1997-01-01 00:00:00,4
"WANG, C",2009-01-01 00:00:00,11
"WANG, H",2004-01-01 00:00:00,7
"WANG, J",1992-01-01 00:00:00,8
"WANG, S",2007-01-01 00:00:00,4
"WANG, Z",2007-01-01 00:00:00,6
"WARGA, A",1993-01-01 00:00:00,1
"WEI, K",2008-01-01 00:00:00,2
