,dep,dep_qual,dmean
0,UNIV MICHIGAN,0.791001451379,0.0319303338171
4,PURDUE UNIV,0.428571428571,0.00340136054422
13,PENN STATE UNIV,0.5734870317,0.0691642651297
16,OTHER,0.667680278019,0.0551694178975
23,HARVARD UNIV,0.843157894737,0.02
24,UNIV PENN,0.681415929204,0.0409292035398
38,CORNELL UNIV,0.523550724638,0.0163043478261
47,UNIV ROCHESTER,0.873655913978,0.0887096774194
48,MIT,0.816037735849,0.0849056603774
50,UNIV MARYLAND,0.702608695652,0.0591304347826
57,STANFORD UNIV,0.84109916368,0.0227001194743
62,UNIV DELAWARE,0.144,0.0
71,CARNEGIE MELLON UNIV,0.786632390746,0.0462724935733
75,YALE UNIV,0.754601226994,0.0224948875256
83,PRINCETON UNIV,0.808558558559,0.0698198198198
85,UNIV ILLINOIS,0.389367816092,0.0316091954023
100,BOSTON UNIV,0.782747603834,0.0127795527157
107,UNIV N CAROLINA,0.29840546697,0.0
110,OHIO STATE UNIV,0.549145299145,0.0405982905983
128,UNIV FLORIDA,0.401840490798,0.00306748466258
155,UNIV S CAROLINA,0.317647058824,0.105882352941
164,UNIV CALIF BERKELEY,0.664899257688,0.0477200424178
191,GEORGIA STATE UNIV,0.606666666667,0.00666666666667
200,UNIV WYOMING,0.0869565217391,0.0
201,DARTMOUTH COLL,0.75625,0.05625
218,UNIV ALABAMA,0.189873417722,0.0759493670886
223,ARIZONA STATE UNIV,0.422857142857,0.0
225,UNIV CONNECTICUT,0.44,0.045
230,UNIV MINNESOTA,0.479744136461,0.0746268656716
239,SUNY BINGHAMTON,0.282608695652,0.0
257,UNIV SO CALIF,0.559701492537,0.0348258706468
282,UNIV CHICAGO,0.829081632653,0.0573979591837
291,NORTHWESTERN UNIV,0.820634920635,0.0412698412698
324,COLUMBIA UNIV,0.634042553191,0.0191489361702
331,GEORGETOWN UNIV,0.720379146919,0.14691943128
340,UNIV CALIF LOS ANGELES,0.814558058925,0.0415944540728
360,BRANDEIS UNIV,0.394736842105,0.0
379,GEORGE MASON UNIV,0.4,0.0461538461538
386,INDIANA UNIV,0.469208211144,0.0557184750733
391,UNIV KENTUCKY,0.577181208054,0.0402684563758
436,NYU,0.721044045677,0.0326264274062
445,JOHNS HOPKINS UNIV,0.64367816092,0.0
454,N CAROLINA STATE UNIV,0.476987447699,0.0376569037657
477,UNIV COLORADO,0.507194244604,0.0395683453237
495,UNIV CALIF DAVIS,0.471354166667,0.0078125
504,WILLIAMS COLL,0.58064516129,0.0
540,UNIV GEORGIA,0.421739130435,0.00869565217391
569,UNIV ARIZONA,0.555147058824,0.0110294117647
589,MICHIGAN STATE UNIV,0.655696202532,0.0329113924051
603,SUNY BUFFALO,0.583333333333,0.0119047619048
616,BROWN UNIV,0.810526315789,0.0
647,BOSTON COLL,0.661016949153,0.101694915254
656,VANDERBILT UNIV,0.352750809061,0.0291262135922
673,COLL WILLIAM & MARY,0.173076923077,0.0
701,UNIV VIRGINIA,0.578680203046,0.0609137055838
733,UNIV WISCONSIN,0.547332185886,0.0292598967298
748,CLARK UNIV,0.542857142857,0.0
769,UNIV CALIF SANTA BARBARA,0.693548387097,0.0537634408602
778,UNIV HOUSTON,0.68152866242,0.0
804,IOWA STATE UNIV,0.215384615385,0.0
855,CLAREMONT MCKENNA COLL,0.0,0.0
908,RUTGERS UNIV,1.0,0.0
919,GEORGE WASHINGTON UNIV,0.368686868687,0.0
976,AUBURN UNIV,0.165137614679,0.00917431192661
1051,WASHINGTON UNIV,0.680203045685,0.010152284264
1139,RICE UNIV,0.608695652174,0.0
1195,UNIV KANSAS,0.122448979592,0.0
1207,AMERICAN UNIV,0.21686746988,0.0
1247,UNIV TEXAS,0.516703786192,0.0
1276,HAMILTON COLL,0.653846153846,0.0
1281,SO METHODIST UNIV,0.393103448276,0.0413793103448
1312,TEXAS A&M UNIV,0.321100917431,0.0519877675841
1319,UNIV NOTRE DAME,0.475409836066,0.0491803278689
1329,UNIV CALIF RIVERSIDE,0.378787878788,0.00757575757576
1347,UNIV OREGON,0.436363636364,0.0
1361,WESLEYAN UNIV,0.5,0.0
1398,CLEMSON UNIV,0.622222222222,0.166666666667
1560,GEORGIA INST TECHNOL,0.435897435897,0.0
1576,UNIV WASHINGTON,0.584717607973,0.0
1694,DUKE UNIV,0.743935309973,0.0242587601078
1733,VIRGINIA COMMONWEALTH UNIV,0.265625,0.0
1779,FLORIDA STATE UNIV,0.245398773006,0.0
1864,UNIV PITTSBURGH,0.649717514124,0.045197740113
1922,UNIV MISSOURI,0.285714285714,0.055900621118
2218,UNIV NEW MEXICO,0.296875,0.140625
2562,CUNY HUNTER COLL,0.12,0.0
2603,UNIV MIAMI,0.464285714286,0.0
2650,TUFTS UNIV,0.422222222222,0.0
2697,BRIGHAM YOUNG UNIV,0.54,0.0
2698,UNIV CALIF IRVINE,0.502008032129,0.0
2806,UNIV HAWAII MANOA,0.363636363636,0.0
3672,EMORY UNIV,0.706666666667,0.0
