au|qual
AADLAND, D|8
ABADIE, A|30.29762
ABARBANELL, J|27.86667
ABBOTT, P|13.25
ABDALLA, C|13.20833
ABDELRAHMAN, H|19.1
ABDULKADIROGLU, A|16.86667
ABEL, A|41.27845
ABLER, D|7.791666
ABOODY, D|35.83333
ABOWD, J|24.40595
ABRAHAM, A|10.25
ABRAHAM, J|2.194444
ABRAHAM, K|41
ABRAMOVITZ, M|156.5
ABRAMS, B|12.6
ABRAMS, R|8.666668
ABRAMSON, B|10.33333
ABREU, D|65.56667
ABREVAYA, J|10.9697
ACEMOGLU, D|45.67554
ACHARYA, S|11.33333
ACHARYA, V|10.48438
ACKERBERG, D|19.5
ACS, Z|15.26381
ACTON, J|33.20833
ADAIR, L|2.706349
ADAMCHIK, V|9.75
ADAMS, D|10.27424
ADAMS, E|3.958333
ADAMS, F|6.318182
ADAMS, G|3.666667
ADAMS, J|22.65217
ADAMS, R|11.9771
ADAMS, S|6.925926
ADAMS, W|20.89394
ADDISON, J|11.01852
ADELMAN, I|12.97917
ADELMAN, M|17.8
ADLER, M|7
ADMATI, A|36.80303
ADSERA, A|20.38889
AGARWAL, R|19.90769
AGARWAL, V|21
AGEE, M|6.125
AGGARWAL, R|13.51087
AGHION, P|20.08681
AGMON, T|4.25
AGNEW, J|10.55556
AGRAWAL, A|25.71078
AGTHE, D|33.75
AGUIAR, M|14.7037
AGUIRREGABIRIA, V|4
AHKING, F|7.833333
AHLBURG, D|8.3125
AHMED, A|10.88333
AHMED, S|20.23485
AHN, D|12.02083
AHN, J|5.848214
AI, C|43.88889
AIGNER, D|15.84444
AIT-SAHALIA, Y|47.74561
AIYAGARI, S|27.64706
AIZENMAN, J|9.21748
AIZER, A|11.83333
AKARCA, A|7.25
AKELLA, S|8
AKERLOF, G|139.5833
AKIN, J|5.990646
AKRIDGE, J|6.166667
AL-NAJJAR, N|4.875
ALAM, I|12.16667
ALBANESI, S|8.083333
ALBARRAN, A|6.25
ALBERINI, A|14.22835
ALBIN, P|9.333333
ALBRECHT, J|9.142362
ALBUQUERQUE, R|13.03333
ALCALY, R|15.5
ALCHIAN, A|308.6367
ALDRICH, H|10
ALDRICH, J|28.5
ALESINA, A|38.36162
ALEXANDER, A|6.875
ALEXANDER, B|12.5
ALEXANDER, C|8.949999
ALEXANDER, G|7.892857
ALEXANDER, S|16
ALEXANDRE, P|5.833333
ALEXEEV, M|11.625
ALEXIS, M|4.333333
ALFARO, L|8.081667
ALGER, I|4.125
ALHO, J|14
ALI, M|18.63636
ALIBER, R|13.8
ALIPRANTIS, C|5.872222
ALLAYANNIS, G|19.33333
ALLEN, B|14.05333
ALLEN, F|33.11111
ALLEN, L|9.490741
ALLEN, R|6.208333
ALLEN, S|19.92222
ALLEN, T|5.833333
ALLEN, W|9.566667
ALLENBY, G|21.08333
ALLOUCH, N|2.611111
ALM, J|11.60897
ALMAZAN, A|6.416667
ALMEIDA, H|10.40625
ALMOND, D|13.60303
ALONSO, W|29.5
ALPERT, W|4.833333
ALSTON, J|10.47368
ALSTON, L|13.04365
ALTINKILIC, O|23.25
ALTMAN, D|5.347222
ALTMAN, E|16.66667
ALTMAN, S|14.5
ALTONJI, J|32.45898
ALTUG, S|33.125
ALVAREZ, F|8.321875
ALVAREZ-DIAZ, M|3.75
ALWANG, J|4.259091
AMADOR, M|5.5
AMALDOSS, W|9
AMATO, L|3
AMBROSE, B|6.731061
AMBRUS, A|4.375
AMEMIYA, T|152.5938
AMERIKS, J|10.41667
AMIHUD, Y|44.49074
AMIN, K|13.9
AMIR, R|12.07407
AMIT, R|45.79167
AMSDEN, A|19.04167
AMSLER, C|12.3125
ANANAT, E|2.666667
ANAND, B|15.27778
ANARI, A|4.333333
ANAS, A|17.33974
ANDERIES, J|7.11111
ANDERLINI, L|3.333333
ANDERSEN, A|31.5
ANDERSEN, T|29.13981
ANDERSON, D|17.18982
ANDERSON, E|22.52381
ANDERSON, G|12.675
ANDERSON, J|21.64576
ANDERSON, K|8.703031
ANDERSON, L|11.66667
ANDERSON, M|5.583333
ANDERSON, N|6.625
ANDERSON, P|13.8782
ANDERSON, R|13.75786
ANDERSON, S|11.76773
ANDERSON, T|18.12798
ANDERSSON, F|3.75
ANDERSSON, K|20.5
ANDO, A|9.7
ANDREASSEN, P|12.2
ANDREONI, J|80.27451
ANDREWS, D|85.88148
ANDREWS, R|7
ANG, A|38.76516
ANGBAZO, L|22.61111
ANGEL, D|24.6
ANGELES, G|4.777778
ANGELETOS, G|11.0537
ANGELONI, I|5.961111
ANGRIST, J|29.19267
ANKER, R|7.34
ANSARI, A|3.416667
ANSELIN, L|31.58611
ANSOLABEHERE, S|23.3
ANSTINE, J|5.75
ANTECOL, H|10.98809
ANTEL, J|14.08333
ANTINOLFI, G|3.541667
ANTINORI, C|10.83333
ANTLE, J|18.96094
ANTON, J|16.25
ANTON, W|35.08334
ANTONOVICS, K|8.583332
ANTONOVITZ, F|7.375
ANTRAS, P|26.48485
AOKI, M|30.84783
AOYAGI, M|8.416667
AOYAMA, Y|8.5
APPEL, H|5.75
ARADHYULA, S|9.666667
ARANSON, P|11
ARBATSKAYA, M|8.133334
ARBEL, A|4.75
ARCE, D|6.142857
ARCHER, D|7.5
ARCHER, W|7.333333
ARCIDIACONO, P|20.47222
ARCONES, M|7
ARDAGNA, S|10.15278
ARDENI, P|25.25
ARDITTI, F|20.5
ARGYRES, N|20.25
ARGYS, L|5.583334
ARIELY, D|14.38889
ARIZE, A|16.38333
ARKOLAKIS, C|4.5
ARLEN, J|9.277778
ARMSTRONG, J|18.54713
ARMSTRONG, K|1.6875
ARMSTRONG, T|14.66667
ARNDT, C|4.983333
ARNDT, S|12.5
ARNOLD, M|10.5
ARNOTT, R|16.10093
ARON, D|20.7
ARORA, A|29.57639
ARORA, S|39.11428
ARROW, K|63.32243
ARUOBA, S|10.08333
ARVAN, L|7
ARYA, A|4.229167
ARZAC, E|16.5
ASAMI, Y|5.333333
ASCH, B|6.708333
ASCH, P|13.71212
ASEA, P|10.98611
ASHENFEL.O|64.5
ASHENFELTER, O|38.51974
ASHRAF, N|12.94444
ASHWORTH, S|19.25
ASIEDU, E|37
ASKARI, H|6.75
ASKER, J|9.25
ASKILDSEN, J|4.333333
ASQUITH, P|71.3125
ASSAAD, R|9.4
ATACK, J|9.633333
ATANASOV, V|8.375
ATHEY, S|17.70278
ATKESON, A|12.2
ATKINSON, S|15.5914
ATLAS, C|7.875
ATOLIA, M|4.333333
AUDRETSCH, D|34.70855
AUERBACH, A|15.77627
AUGEREAU, A|5.333333
AULT, R|3.033333
AUSTEN-SMITH, D|18.625
AUSTENSMITH, D|26.52084
AUSUBEL, L|37.30769
AUTOR, D|30.7963
AVERY, C|18.56667
AVERY, R|10.01076
AVRAMOV, D|22.21428
AW, B|13.41177
AWOKUSE, T|7.75
AYRES, I|35.91666
AYYAGARI, M|4.266666
AZARIADIS, C|83.6
AZFAR, O|12.08333
BAACK, B|7
BABBEL, D|10.25
BABCOCK, B|8.919118
BABCOCK, L|34
BABER, W|19.04167
BACH, G|11.38889
BACHMEIER, L|16
BACK, K|27.60606
BACKUS, D|27.53333
BACOLOD, M|6.416667
BADEN, J|4.166667
BADGETT, M|6.958333
BADRINATH, S|13.27778
BAE, S|6
BAEK, J|20.16667
BAER, W|6.25
BAERENKLAU, K|10.33333
BAFFOE-BONNIE, J|14
BAGCHISEN, S|12.5
BAGHESTANI, H|11.5
BAGNOLI, M|26.88333
BAGOZZI, R|9.833335
BAGWELL, K|20.16465
BAGWELL, L|38.875
BAHL, R|8.69697
BAHMANI-OSKOOEE, M|7.898148
BAHMANIOSKOOEE, M|14.38636
BAHRY, D|7.5
BAI, J|52.00555
BAICKER, K|9.111111
BAIER, S|16.06528
BAILEY, J|8.166667
BAILEY, M|14.91667
BAILEY, T|5.166667
BAILEY, W|15.27381
BAILLIE, R|30.54167
BAILY, M|44.36111
BAIR, J|23.875
BAIRD, D|25
BAJARI, P|18.4375
BAKER, B|3.125
BAKER, G|30.97222
BAKER, H|9
BAKER, L|18.66667
BAKER, M|10.50167
BAKER, S|9.5
BAKER, T|7.344048
BAKOS, Y|28.83334
BAKSHI, G|21.01515
BALASKO, Y|18.80303
BALASSA, B|22.87281
BALDICK, R|13.11111
BALDUZZI, P|17.1875
BALDWIN, C|6.75
BALDWIN, M|7.259523
BALDWIN, R|39.51923
BALDWIN, W|11.75
BALIGA, S|8.5
BALKAN, E|14.75
BALKE, N|24.6875
BALL, L|27.70833
BALL, R|39.5303
BALLARD, C|33.11905
BALLARD, K|12
BALLOU, D|22.19444
BALSA, A|27.38889
BALSEVICH, F|7.275
BALTAGI, B|14.11863
BALVERS, R|7.083333
BAMBER, L|16.66666
BAMBERGER, G|6
BANAIAN, K|4.25
BANDI, F|21.73958
BANDYOPADHYAY, T|5.444445
BANERJEE, A|34.69475
