|name|isState|State|budget_def|region
Department of Economics, Harvard University |HARVARD UNIV||||E
Department of Economics, University of Chicago |UNIV CHICAGO||||E
Economics Department, Massachusetts Institute of Technology (MIT) |MIT||||E
Department of Economics, Princeton University |PRINCETON UNIV||||E
Department of Economics, University of California-Berkeley |UNIV CALIF BERKELEY|1|California|8.6|W
Department of Economics, New York University (NYU) |NYU||||E
Department of Economics, School of Arts and Sciences, Columbia University |COLUMBIA UNIV||||E
Department of Economics, Stanford University |STANFORD UNIV||||W
Economics Department, Yale University |YALE UNIV||||E
Department of Economics, Boston University |BOSTON UNIV||||E
Department of Economics, University of Pennsylvania |UNIV PENN||||E
Department of Economics, Northwestern University |NORTHWESTERN UNIV||||E
Economics Department, University of Michigan |UNIV MICHIGAN|1|Michigan|15.4|E
Economics Department, Brown University |BROWN UNIV||||E
Department of Economics, University of California-Los Angeles (UCLA) |UNIV CALIF LOS ANGELES|1|California|8.6|W
Department of Economics, University of California-San Diego (UCSD) |UNIV CALIF SAN DIEGO|1|California|8.6|W
Department of Economics, Boston College |BOSTON COLL||||E
Economics Department, Dartmouth College |DARTMOUTH COLL||||E
Economics Department, University of Wisconsin-Madison |UNIV WISCONSIN|1|Wisconsin|0|E
Department of Economics, Cornell University |CORNELL UNIV||||E
Economics Department, Georgetown University |GEORGETOWN UNIV||||E
Department of Economics, University of Maryland |UNIV MARYLAND|1|Maryland|9.3|E
Department of Economics, Duke University |DUKE UNIV||||E
Department of Economics, Vanderbilt University |VANDERBILT UNIV||||E
Economics Department, Michigan State University |MICHIGAN STATE UNIV|1|Michigan|15.4|E
Economics Department, University of California-Davis |UNIV CALIF DAVIS|1|California|8.6|W
Department of Economics, Iowa State University |IOWA STATE UNIV|1|Iowa|0.5|E
Department of Economics, Ohio State University |OHIO STATE UNIV|1|Ohio|4.7|E
Department of Economics, University of California-Santa Barbara (UCSB) |UNIV CALIF SANTA BARBARA|1|California|8.6|W
Department of Economics, University of Minnesota |UNIV MINNESOTA|1|Minnesota|2.7|E
Department of Economics, University of Virginia |UNIV VIRGINIA|1|Virginia|17.6|E
Department of Economics, Johns Hopkins University |JOHNS HOPKINS UNIV||||E
Department of Economics, Rutgers University-New Brunswick |RUTGERS UNIV|1|New Jersey|5.8|E
Department of Economics, University of Southern California |UNIV SO CALIF|1|California|8.6|W
Department of Economics, Washington University in St. Louis |WASHINGTON UNIV||||E
Department of Economics, Pennsylvania State University |PENN STATE UNIV|1|Pennsylvania|6.8|E
Economics Department, Stern School of Business, New York University (NYU) |NYU||||E
Department of Economics, W.P. Carey School of Business, Arizona State University |ARIZONA STATE UNIV|1|Arizona|2.8|W
Department of Economics, University of California-Irvine |UNIV CALIF IRVINE|1|California|8.6|W
Department of Economics, George Washington University |GEORGE WASHINGTON UNIV||||E
Department of Economics, Tepper School of Business Administration, Carnegie Mellon University |CARNEGIE MELLON UNIV||||E
Economics Department, University of California-Santa Cruz (UCSC) |UNIV CALIF SANTA CRUZ|1|California|8.6|W
Department of Economics, University of Texas-Austin |UNIV TEXAS|1|Texas|0|W
Department of Economics, University of Notre Dame |UNIV NOTRE DAME||||E
Department of Economics, University of Colorado |UNIV COLORADO|1|Colorado|0|W
Department of Economics, International Business School, Brandeis University |BRANDEIS UNIV||||E
Department of Economics, Indiana University |INDIANA UNIV|1|Indiana|1.6|E
Applied Economics Workshop, Booth School of Business, University of Chicago |UNIV CHICAGO||||E
Department of Economics, University of Illinois at Urbana-Champaign |UNIV ILLINOIS|1|Illinois|3.6|E
Argyros School of Business and Economics, Chapman University |CHAPMAN UNIV||||W
Global Economics & Management Group, Anderson Graduate School of Management, University of California-Los Angeles (UCLA) |UNIV CALIF LOS ANGELES|1|California|8.6|W
